id,age,gender,type,direction,ov_feedback,have lag,feedback,positions,times,total time,num of lags,longest position,longest time,fastest speed,lag first speed,lag longest speed,lag first state,lag longest state,
17,27,F,scroll,0,4.0,false,4.0,"[1521703256077, 1521703256113, 1521703256211, 1521703256261, 1521703256312, 1521703256378, 1521703256445]","[16, 16, 16, 16, 16, 16, 16]",112,7,1521703256077,16,31.1111111111,20.0030959752,20.0030959752,fling,fling,
18,27,F,scroll,1,4.0,false,4.0,"[1521703268185, 1521703268244, 1521703268282, 1521703268345, 1521703268384, 1521703268418, 1521703268512]","[33, 16, 33, 16, 16, 16, 32]",162,7,1521703268185,33,13.488372093,10.5859375,10.5859375,touch,touch,
19,27,F,scroll,1,5.0,false,5.0,"[1521703279992, 1521703280278]","[16, 16]",32,2,1521703279992,16,6.32835820896,2.85498489426,2.85498489426,fling,fling,
20,27,F,scroll,1,5.0,false,5.0,"[1521703292083, 1521703292257, 1521703292424, 1521703292592]","[50, 50, 50, 33]",183,4,1521703292083,50,5.66876971609,3.30188679245,3.30188679245,fling,fling,
21,27,F,scroll,0,5.0,false,5.0,"[1521703302821, 1521703303188]","[66, 66]",132,2,1521703302821,66,30.9968454259,13.136,13.136,fling,fling,
22,27,F,scroll,1,5.0,false,5.0,"[]","[]",0,0,0,0,0,0,0,null,null
23,27,F,scroll,0,4.0,false,4.0,"[1521703326423, 1521703326490, 1521703326540, 1521703326607, 1521703326674, 1521703326739, 1521703326807, 1521703326874, 1521703326940]","[16, 16, 33, 16, 16, 16, 16, 16, 16]",161,9,1521703326540,33,6.14634146341,5.7752293578,3.80239520958,touch,touch,
24,27,F,scroll,0,5.0,false,5.0,"[1521703335464, 1521703335816]","[33, 33]",66,2,1521703335464,33,32.1578947368,9.98208955224,9.98208955224,fling,fling,
9,40,M,scroll,0,5.0,false,5.0,"[1521707640188, 1521707640918, 1521707651035, 1521707660654, 1521707661517]","[33, 33, 66, 33, 33]",198,5,1521707651035,66,4.08441558442,2.37068965517,-0.0183727034121,fling,touch,
10,40,M,scroll,0,5.0,false,5.0,"[1521707676143, 1521707676259, 1521707676375, 1521707676491, 1521707683427, 1521707683525, 1521707683656, 1521707683772]","[33, 16, 16, 16, 33, 16, 16, 16]",162,8,1521707676143,33,6.01807228916,0,0,touch,touch,
11,40,M,scroll,0,5.0,false,5.0,"[1521707697636, 1521707698168, 1521707704634, 1521707705200]","[16, 97, 32, 81]",226,4,1521707698168,97,6.23611111111,3.46686746988,3.61818181818,fling,fling,
12,40,M,scroll,0,3.0,true,3.0,"[1521707715463, 1521707715663, 1521707715766, 1521707716011, 1521707719511, 1521707719645, 1521707719748]","[33, 83, 33, 33, 66, 83, 33]",364,7,1521707715663,83,17.4691358025,6.04316546763,5.20145631068,fling,fling,
13,40,M,scroll,1,5.0,false,5.0,"[1521707731565, 1521707731681, 1521707731797, 1521707731913, 1521707732029, 1521707732146, 1521707732262, 1521707738182, 1521707738290, 1521707738415, 1521707738533, 1521707738647, 1521707738765, 1521707738879, 1521707742014, 1521707742133, 1521707742247, 1521707742363, 1521707742479, 1521707742595, 1521707742711, 1521707746674, 1521707746791, 1521707746907, 1521707747009, 1521707747139, 1521707747255, 1521707747371, 1521707750356, 1521707750473, 1521707750589, 1521707750705, 1521707750807, 1521707750937, 1521707751053, 1521707753922, 1521707754038, 1521707754154, 1521707754256, 1521707754387, 1521707754504, 1521707754619, 1521707759362, 1521707759493, 1521707759595, 1521707759710, 1521707759824, 1521707759943, 1521707760059]","[33, 16, 16, 16, 16, 16, 16, 33, 16, 16, 16, 16, 16, 16, 33, 16, 16, 16, 16, 16, 16, 33, 16, 16, 16, 16, 16, 16, 33, 16, 16, 16, 16, 16, 16, 33, 16, 16, 16, 16, 16, 16, 33, 16, 16, 16, 16, 16, 16]",903,49,1521707731565,33,17.1901408451,7.93965517241,7.93965517241,fling,fling,
14,40,M,scroll,0,5.0,false,5.0,"[]","[]",0,0,0,0,0,0,0,null,null
15,40,M,scroll,1,5.0,false,5.0,"[1521707789661, 1521707789960]","[16, 16]",32,2,1521707789661,16,4.21782178218,3.09608540925,3.09608540925,touch,touch,
9,25,F,scroll,1,3.0,true,3.0,"[1521696265299]","[80]",80,1,1521696265299,80,3.89905362776,0,0,touch,touch,
10,25,F,scroll,1,4.0,false,4.0,"[1521696290869]","[66]",66,1,1521696290869,66,3.14240506329,0,0,touch,touch,
11,25,F,scroll,1,4.0,true,4.0,"[1521696321714, 1521696322406]","[64, 32]",96,2,1521696321714,64,3.84384384384,1.40625,1.40625,touch,touch,
12,25,F,scroll,1,3.0,true,3.0,"[1521696355449, 1521696355851]","[33, 83]",116,2,1521696355851,83,5.69121813031,1.35327635328,2.64516129032,fling,touch,
13,25,F,scroll,1,3.0,true,3.0,"[1521696374132, 1521696374214, 1521696374297, 1521696374381, 1521696374583, 1521696374618, 1521696374700, 1521696374782]","[16, 16, 16, 16, 32, 16, 16, 16]",144,8,1521696374583,32,7.59021406728,1.75375375375,1.94927536232,touch,touch,
14,25,F,scroll,1,2.0,true,2.0,"[1521696391440, 1521696391558, 1521696392444]","[33, 33, 100]",166,3,1521696392444,100,5.84482758621,3.42519685039,2.00996677741,fling,touch,
15,25,F,scroll,0,5.0,false,5.0,"[1521696410189]","[16]",16,1,1521696410189,16,2.51351351351,0.0059880239521,0.0059880239521,touch,touch,
17,28,F,scroll,1,4.0,false,4.0,"[1521704331978, 1521704332061, 1521704332146, 1521704332212, 1521704332311, 1521704332378]","[33, 16, 33, 33, 16, 16]",147,6,1521704331978,33,17.27,5.5972972973,5.5972972973,fling,fling,
18,28,F,scroll,1,5.0,false,5.0,"[1521704340975, 1521704341074, 1521704341125, 1521704341175, 1521704341224, 1521704341291, 1521704341374, 1521704341441, 1521704341492, 1521704341607]","[16, 33, 16, 16, 16, 16, 16, 33, 16, 16]",194,10,1521704341074,33,21.0752351097,18.1061946903,21.0752351097,fling,fling,
19,28,F,scroll,1,5.0,false,5.0,"[1521704350070, 1521704350203, 1521704350337, 1521704350470, 1521704350636]","[33, 50, 33, 33, 33]",182,5,1521704350203,50,15.2541966427,0,12.4863387978,touch,fling,
20,28,F,scroll,0,4.0,true,4.0,"[1521704360249, 1521704360284, 1521704360432]","[16, 16, 16]",48,3,1521704360249,16,13.984984985,7.10479041916,7.10479041916,fling,fling,
21,28,F,scroll,1,4.0,true,4.0,"[1521704369477, 1521704369578]","[16, 33]",49,2,1521704369578,33,17.8323353293,11.9148148148,10.7260273973,fling,fling,
22,28,F,scroll,1,4.0,false,4.0,"[1521704381256, 1521704381524]","[33, 50]",83,2,1521704381524,50,4.67335243553,1.9,3.17714285714,touch,fling,
23,28,F,scroll,1,4.0,false,4.0,"[]","[]",0,0,0,0,0,0,0,null,null
24,28,F,scroll,0,5.0,false,5.0,"[1521704408294, 1521704408410, 1521704408528, 1521704408676, 1521704408743, 1521704408860]","[33, 16, 16, 33, 16, 33]",147,6,1521704408294,33,7.83271375465,6.67192429022,6.67192429022,fling,fling,
17,30,M,scroll,0,5.0,false,5.0,"[]","[]",0,0,0,0,0,0,0,null,null
18,30,M,scroll,0,5.0,false,5.0,"[1521685321849, 1521685321916, 1521685322000, 1521685322084, 1521685322168]","[33, 33, 33, 33, 33]",165,5,1521685321849,33,9.14917127072,5.772845953,5.772845953,fling,fling,
19,30,M,scroll,1,5.0,false,5.0,"[1521685328481, 1521685328615, 1521685328733, 1521685328969]","[16, 33, 33, 33]",115,4,1521685328615,33,8.18596491228,4.75238095238,5.96730245232,fling,fling,
20,30,M,scroll,0,5.0,false,5.0,"[1521685337239, 1521685337372, 1521685337508, 1521685337624, 1521685337764]","[33, 16, 16, 16, 16]",97,5,1521685337239,33,11.1084745763,6.51245551601,6.51245551601,fling,fling,
21,30,M,scroll,0,5.0,false,5.0,"[1521685396578, 1521685396694, 1521685396797]","[33, 16, 16]",65,3,1521685396578,33,35.2382978723,16.5601265823,16.5601265823,fling,fling,
22,30,M,scroll,0,5.0,false,5.0,"[1521685403329, 1521685403413, 1521685403496, 1521685403563, 1521685403646, 1521685408807, 1521685408875, 1521685408957, 1521685409041, 1521685409125, 1521685409211, 1521685409293, 1521685409375]","[33, 33, 16, 16, 16, 33, 33, 16, 16, 16, 16, 16, 16]",276,13,1521685403329,33,7.55789473684,5.95577395577,5.95577395577,fling,fling,
23,30,M,scroll,1,5.0,false,5.0,"[1521685419962, 1521685420029, 1521685420129]","[33, 33, 16]",82,3,1521685419962,33,14.552238806,7.75609756098,7.75609756098,fling,fling,
24,30,M,scroll,0,4.0,true,4.0,"[1521685432793, 1521685433012, 1521685436026, 1521685436310, 1521685440280]","[66, 49, 66, 49, 115]",345,5,1521685440280,115,6.12727272727,4.36055776892,1.01739130435,fling,touch,
1,26,F,scroll,1,5.0,false,5.0,"[1521706568414, 1521706568502, 1521706568615, 1521706568967]","[16, 16, 33, 32]",97,4,1521706568615,33,2.84012539185,1.74294670846,0.522388059701,touch,touch,
2,26,F,scroll,0,5.0,false,5.0,"[1521706579297, 1521706579734]","[32, 16]",48,2,1521706579297,32,2.62686567164,0.310344827586,0.310344827586,touch,touch,
3,26,F,scroll,1,3.0,true,3.0,"[1521706591337, 1521706591772]","[33, 33]",66,2,1521706591337,33,6.59788359788,1.3867120954,1.3867120954,touch,touch,
4,26,F,scroll,1,5.0,false,5.0,"[1521706604836, 1521706604871, 1521706604891, 1521706604937, 1521706604971, 1521706604993, 1521706605025, 1521706605060, 1521706605089, 1521706605121, 1521706611553, 1521706611587, 1521706611607, 1521706611637, 1521706611687, 1521706611737, 1521706611771, 1521706611806, 1521706611855]","[16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 32, 16, 16, 16, 16]",320,19,1521706611687,32,22.1787072243,19.4041916168,12.7683923706,fling,fling,
